ticker,Year_Quarter,year,quarter,Q1,Q2,Q3,Q4,revenue,grossProfit,costOfRevenue,operatingExpenses,snaExpenses,ebitda,operatingIncome,incomeBeforeTax,netIncome,rnd,net_plus_rnd,totalAssets,totalEquity,totalAssets_lag1,totalEquity_lag1,rnd_to_rev_ratio,sna_to_rev_ratio,grossProfitRatio,operatingIncomeRatio,netIncomeRatio,rnd_lag1,rnd_lag2,rnd_lag3,rnd_lag4,rnd_lag5,rnd_lag6,rnd_lag7,rnd_lag8,rnd_lag9,rnd_lag10,rnd_lag11,rnd_lag12,rnd_to_rev_ratio_lag1,rnd_to_rev_ratio_lag2,rnd_to_rev_ratio_lag3,rnd_to_rev_ratio_lag4,rnd_to_rev_ratio_lag5,rnd_to_rev_ratio_lag6,rnd_to_rev_ratio_lag7,rnd_to_rev_ratio_lag8,rnd_to_rev_ratio_lag9,rnd_to_rev_ratio_lag10,rnd_to_rev_ratio_lag11,rnd_to_rev_ratio_lag12,revenue_yoy,netIncome_yoy,grossProfit_yoy,rnd_yoy,ebitda_yoy,operatingIncome_yoy,incomeBeforeTax_yoy,costOfRevenue_yoy,snaExpenses_yoy,operatingExpenses_yoy,rnd_to_rev_ratio_yoy,sna_to_rev_ratio_yoy,grossProfitRatio_yoy,operatingIncomeRatio_yoy,netIncomeRatio_yoy,net_plus_rnd_yoy,gics_sectors,gics_sector_code,quarter_int,time_idx,revenue_log,revenue_lag1,revenue_lag4,totalAssets_log,totalEquity_log,totalAssets_lag1_log,totalEquity_lag1_log
MRO,1995Q2,1995,Q2,0,1,0,0,2847.0,590.0,2257.0,339.0,79.0,460.0,251.0,173.0,107.0,0.0,107.0,10844.0,3327.0,10901.0,3268.0,0.0,0.0277485072005619,0.2072356866877414,0.0881629785739374,0.0375834211450649,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,10.0,2.0,1,7.954372272531867,2690.0,,9.291459423260974,8.1101268019411,9.296701537624227,8.092239406724211
MRO,1995Q3,1995,Q3,0,0,1,0,2774.0,550.0,2224.0,328.0,74.0,429.0,222.0,112.0,92.0,0.0,92.0,10749.0,3291.0,10844.0,3327.0,0.0,0.026676279740447,0.1982696467195385,0.080028839221341,0.0331651045421773,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,10.0,3.0,2,7.928406026180535,2847.0,,9.28266103355581,8.09925056179696,9.291459423260974,8.1101268019411
MRO,1995Q4,1995,Q4,0,0,0,1,2852.0,408.0,2444.0,310.0,71.0,292.0,-561.0,-603.0,-366.0,0.0,-366.0,10109.0,2872.0,10749.0,3291.0,0.0,0.0248948106591865,0.1430575035063113,-0.1967040673211781,-0.1283309957924263,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,Energy,10.0,4.0,3,7.9561263512135,2774.0,,9.221280312014517,7.96311205897929,9.28266103355581,8.09925056179696
MRO,1996Q1,1996,Q1,1,0,0,0,2994.0,531.0,2463.0,309.0,78.0,404.0,222.0,320.0,216.0,0.0,216.0,10091.0,3040.0,10109.0,2872.0,0.0,0.0260521042084168,0.1773547094188376,0.0741482965931863,0.0721442885771543,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.1130111524163568,1.88,0.1670329670329671,,0.2242424242424241,0.8048780487804879,1.5,0.1020134228187918,0.0684931506849315,-0.0692771084337349,,-0.0399978038268318,0.0485366337069745,0.6216172181761899,1.5875751503006017,1.88,Energy,10.0,1.0,4,8.00469951054955,2852.0,2690.0,9.219498309760949,8.019941687677365,9.221280312014517,7.96311205897929
MRO,1996Q2,1996,Q2,0,1,0,0,3371.0,606.0,2765.0,300.0,82.0,479.0,306.0,165.0,124.0,0.0,124.0,9927.0,3115.0,10091.0,3040.0,0.0,0.0243251260753485,0.1797686146544052,0.0907742509641056,0.0367843369919905,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.1840533895328415,0.1588785046728971,0.0271186440677966,,0.041304347826087,0.2191235059760956,-0.0462427745664739,0.2250775365529465,0.0379746835443037,-0.1150442477876105,,-0.1233717223225652,-0.132540261150692,0.0296186951984407,-0.0212616129327386,0.1588785046728971,Energy,10.0,2.0,5,8.123261319121745,2994.0,2847.0,9.203114326884442,8.044305406990638,9.219498309760949,8.019941687677365
MRO,1996Q3,1996,Q3,0,0,1,0,3438.0,513.0,2925.0,291.0,77.0,389.0,222.0,251.0,164.0,0.0,164.0,10103.0,3232.0,9927.0,3115.0,0.0,0.0223967422920302,0.1492146596858638,0.0645724258289703,0.0477021524141943,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.2393655371304974,0.7826086956521738,-0.0672727272727272,,-0.0932400932400931,0.0,1.2410714285714284,0.3151978417266188,0.0405405405405405,-0.1128048780487804,,-0.1604248227284875,-0.247415516420752,-0.1931355439208842,0.4383235956192934,0.7826086956521738,Energy,10.0,3.0,6,8.142936010432265,3371.0,2774.0,9.220686664030326,8.081165777725433,9.203114326884442,8.044305406990638
MRO,1996Q4,1996,Q4,0,0,0,1,3761.0,590.0,3171.0,315.0,82.0,446.0,275.0,255.0,160.0,0.0,160.0,10151.0,3340.0,10103.0,3232.0,0.0,0.0218027120446689,0.1568731720287157,0.0731188513693166,0.0425418771603297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.3187237026647966,-1.4371584699453552,0.446078431372549,,0.5273972602739727,-1.4901960784313726,-1.4228855721393034,0.2974631751227496,0.1549295774647887,0.0161290322580645,,-0.1242065527972406,0.096574231926219,-1.371720078619057,-1.3315011848668314,-1.4371584699453552,Energy,10.0,4.0,7,8.232706009860976,3438.0,2852.0,9.225426009394223,8.114025442356757,9.220686664030326,8.081165777725433
MRO,1997Q1,1997,Q1,1,0,0,0,3427.0,636.0,2791.0,308.0,84.0,499.0,328.0,165.0,108.0,0.0,108.0,9975.0,3397.0,10151.0,3340.0,0.0,0.024511234315728,0.1855850598190837,0.0957105339947475,0.0315144441202217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.1446225784903139,-0.5,0.1977401129943503,,0.2351485148514851,0.4774774774774775,-0.484375,0.1331709297604546,0.0769230769230768,-0.0032362459546925,,-0.0591456981885928,0.0464061564940427,0.2907988233345688,-0.5631747884447038,-0.5,Energy,10.0,1.0,8,8.13973227971767,3761.0,2994.0,9.207937487359873,8.130942302231878,9.225426009394223,8.114025442356757
MRO,1997Q2,1997,Q2,0,1,0,0,3111.0,591.0,2520.0,296.0,83.0,458.0,295.0,175.0,118.0,0.0,118.0,10108.0,3469.0,9975.0,3397.0,0.0,0.0266795242687238,0.1899710703953712,0.0948248151719704,0.0379299260687881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.0771284485315929,-0.0483870967741935,-0.0247524752475247,,-0.0438413361169102,-0.0359477124183006,0.0606060606060605,-0.0886075949367088,0.0121951219512195,-0.0133333333333333,,0.0967887354861978,0.0567532645260668,0.0446223919761841,0.0311433933700397,-0.0483870967741935,Energy,10.0,2.0,9,8.043020885298283,3427.0,3371.0,9.221181395154058,8.151909872940905,9.207937487359873,8.130942302231878
MRO,1997Q3,1997,Q3,0,0,1,0,3191.0,613.0,2578.0,309.0,96.0,467.0,304.0,296.0,192.0,0.0,192.0,10248.0,3617.0,10108.0,3469.0,0.0,0.0300846129739893,0.1921027890943278,0.0952679410842995,0.0601692259479786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,-0.0718440954043048,0.1707317073170731,0.1949317738791423,,0.2005141388174807,0.3693693693693693,0.1792828685258964,-0.1186324786324786,0.2467532467532467,0.0618556701030927,,0.3432584338256541,0.2874257093690038,0.4753656821973964,0.2613524317631142,0.1707317073170731,Energy,10.0,3.0,10,8.068402958569699,3111.0,3438.0,9.234935418831563,8.193676665955241,9.221181395154058,8.151909872940905
